context,text,file,lineStart,lineEnd
plan_enterprise_description,For scaled organisations and secure deployments,config/plans.json,159,159
plan_starter_feature_1,25 AI actions per month,config/plans.json,29,29
plan_starter_feature_2,7-day trial of premium features,config/plans.json,30,30
plan_starter_feature_3,Single story generation with INVEST gating,config/plans.json,31,31
plan_starter_feature_4,Story comparison (side-by-side diff view),config/plans.json,32,32
plan_starter_feature_5,Export to Word or Excel,config/plans.json,33,33
plan_core_feature_1,Everything in Starter,config/plans.json,62,62
plan_core_feature_2,400 AI actions per user/month,config/plans.json,63,63
plan_core_feature_3,20% rollover of unused actions,config/plans.json,64,64
plan_core_feature_4,Advanced Gherkin acceptance criteria,config/plans.json,65,65
plan_core_feature_5,Split stories into up to 3 child stories,config/plans.json,66,66
plan_core_feature_6,Priority generation queue,config/plans.json,67,67
plan_core_feature_7,Access to Custom Document Templates (upload & validation included),config/plans.json,68,68
plan_pro_feature_1,Everything in Core,config/plans.json,99,99
plan_pro_feature_2,800 AI actions per user/month,config/plans.json,100,100
plan_pro_feature_3,20% rollover of unused actions,config/plans.json,101,101
plan_pro_feature_4,Smart Context — AI learns from your similar stories for 75% better accuracy,config/plans.json,102,102
plan_pro_feature_5,Semantic search to locate relevant examples automatically,config/plans.json,103,103
plan_pro_feature_6,Custom Document Templates — upload, manage, and version your own structured story templates,config/plans.json,104,104
plan_pro_feature_7,Fast export to Jira, CSV, Word, or PDF,config/plans.json,105,105
plan_team_feature_1,Everything in Pro,config/plans.json,139,139
plan_team_feature_2,10,000 base + 1,000 AI actions per seat,config/plans.json,140,140
plan_team_feature_3,Shared AI pool across the team,config/plans.json,141,141
plan_team_feature_4,Smart Context + Deep Reasoning Mode — enhanced understanding for complex, compliance, and security stories,config/plans.json,142,142
plan_team_feature_5,Team template library with shared permissions,config/plans.json,143,143
plan_team_feature_6,Admin dashboard for project oversight,config/plans.json,144,144
plan_enterprise_feature_1,Everything in Team,config/plans.json,175,175
plan_enterprise_feature_2,Custom AI action pools and dedicated API keys,config/plans.json,176,176
plan_enterprise_feature_3,Department-level budget and quota controls,config/plans.json,177,177
plan_enterprise_feature_4,Deep Reasoning + Custom Models tuned to your story language and domain,config/plans.json,178,178
plan_enterprise_feature_5,Private semantic search with configurable similarity thresholds,config/plans.json,179,179
plan_enterprise_feature_6,Enterprise-grade template management and versioning,config/plans.json,180,180
plan_enterprise_feature_7,Compliance, audit logging, and private cloud options,config/plans.json,181,181
addon_ai_booster_name,AI Booster,config/plans.json,189,189
addon_ai_booster_description,+200 extra AI actions per month,config/plans.json,197,197
addon_ai_booster_price,£5,config/plans.json,191,191
addon_ai_actions_pack_name,AI Actions 1,000 Pack,config/plans.json,214,214
addon_ai_actions_pack_description,+1,000 AI actions (90-day expiry; stackable),config/plans.json,221,221
addon_ai_actions_pack_price,£20,config/plans.json,216,216
addon_priority_support_name,Priority Support Pack,config/plans.json,241,241
addon_priority_support_description,Upgrades to 24h email + chat support,config/plans.json,249,249
addon_priority_support_price,£15,config/plans.json,243,243
faq_pooled_actions_q,How do pooled AI actions work?,config/plans.json,308,308
faq_pooled_actions_a,For Team plans, you get a base pool of 10,000 AI actions plus 1,000 per seat. For example, a 5-person team gets 15,000 actions (10k base + 5k from seats). Any team member can use from this shared pool, making it more flexible than individual allowances. We apply soft caps (2,000 actions/user) to prevent any single user from exhausting the pool.,config/plans.json,309,309
faq_buy_actions_q,Can I buy more AI actions?,config/plans.json,313,313
faq_buy_actions_a,Yes! Core and Team users can purchase AI Actions Packs for £20. Each pack includes 1,000 AI actions that expire after 90 days. You can stack up to 5 packs at once. Starter users can add the AI Booster (£5/month) for an extra 200 actions per month.,config/plans.json,314,314
faq_limit_reached_q,What happens when I reach my monthly limit?,config/plans.json,318,318
faq_limit_reached_a,When you reach your AI action limit, the system will block new AI operations until your monthly allowance resets. You can still manually edit stories, manage projects, and use all non-AI features. Core users with rollover will also have their banked actions available. Consider purchasing an AI Actions Pack or upgrading your plan to continue using AI features.,config/plans.json,319,319
faq_free_more_actions_q,Can free users get more AI time without upgrading?,config/plans.json,323,323
faq_free_more_actions_a,Yes! Starter users can subscribe to the AI Booster add-on for just £5/month, which adds 200 AI actions to your monthly allowance. This is a great way to test more advanced features before committing to a Core plan.,config/plans.json,324,324
faq_team_discount_q,What's the Team plan discount?,config/plans.json,328,328
faq_team_discount_a,The Team plan (£16.99/user) offers 15% savings compared to subscribing 5 users to Pro at £19.99 each. The discount is applied automatically when you have 5 or more seats. Plus, you get pooled AI actions, approval flows, and advanced features not available in Pro.,config/plans.json,329,329

